question_id,question_type,answer_option,count,percentage
2017_CH_47,Concrete,A,0,0.0
2017_CH_47,Concrete,B,0,0.0
2017_CH_47,Concrete,C,0,0.0
2017_CH_47,Concrete,D,35,97.22
2017_CH_47,Concrete,E,1,2.78
2017_CH_68,Concrete,A,9,25.0
2017_CH_68,Concrete,B,7,19.44
2017_CH_68,Concrete,C,5,13.89
2017_CH_68,Concrete,D,10,27.78
2017_CH_68,Concrete,E,5,13.89
2017_CH_69,Concrete,A,5,13.89
2017_CH_69,Concrete,B,7,19.44
2017_CH_69,Concrete,C,1,2.78
2017_CH_69,Concrete,D,9,25.0
2017_CH_69,Concrete,E,14,38.89
2017_CH_75,Concrete,A,8,22.22
2017_CH_75,Concrete,B,1,2.78
2017_CH_75,Concrete,C,1,2.78
2017_CH_75,Concrete,D,15,41.67
2017_CH_75,Concrete,E,11,30.56
2018_CH_77,Concrete,A,24,66.67
2018_CH_77,Concrete,B,0,0.0
2018_CH_77,Concrete,C,1,2.78
2018_CH_77,Concrete,D,4,11.11
2018_CH_77,Concrete,E,7,19.44
2018_LC_44,Concrete,A,2,5.56
2018_LC_44,Concrete,B,1,2.78
2018_LC_44,Concrete,C,6,16.67
2018_LC_44,Concrete,D,19,52.78
2018_LC_44,Concrete,E,8,22.22
2019_CH_56,Abstract,A,4,11.11
2019_CH_56,Abstract,B,3,8.33
2019_CH_56,Abstract,C,3,8.33
2019_CH_56,Abstract,D,21,58.33
2019_CH_56,Abstract,E,5,13.89
2019_CH_64,Abstract,A,5,13.89
2019_CH_64,Abstract,B,1,2.78
2019_CH_64,Abstract,C,29,80.56
2019_CH_64,Abstract,D,1,2.78
2019_CH_64,Abstract,E,0,0.0
2019_CH_65,Abstract,A,28,77.78
2019_CH_65,Abstract,B,0,0.0
2019_CH_65,Abstract,C,2,5.56
2019_CH_65,Abstract,D,2,5.56
2019_CH_65,Abstract,E,4,11.11
2020_CH_56,Concrete,A,2,5.56
2020_CH_56,Concrete,B,6,16.67
2020_CH_56,Concrete,C,1,2.78
2020_CH_56,Concrete,D,27,75.0
2020_CH_56,Concrete,E,0,0.0
2020_CH_59,Concrete,A,0,0.0
2020_CH_59,Concrete,B,2,5.56
2020_CH_59,Concrete,C,20,55.56
2020_CH_59,Concrete,D,9,25.0
2020_CH_59,Concrete,E,5,13.89
2020_CH_70,Concrete,A,5,14.29
2020_CH_70,Concrete,B,2,5.71
2020_CH_70,Concrete,C,7,20.0
2020_CH_70,Concrete,D,4,11.43
2020_CH_70,Concrete,E,17,48.57
2020_CH_76,Abstract,A,3,8.33
2020_CH_76,Abstract,B,9,25.0
2020_CH_76,Abstract,C,0,0.0
2020_CH_76,Abstract,D,7,19.44
2020_CH_76,Abstract,E,17,47.22
2020_CH_77,Abstract,A,15,42.86
2020_CH_77,Abstract,B,1,2.86
2020_CH_77,Abstract,C,2,5.71
2020_CH_77,Abstract,D,16,45.71
2020_CH_77,Abstract,E,1,2.86
2020_CH_78,Concrete,A,3,8.57
2020_CH_78,Concrete,B,6,17.14
2020_CH_78,Concrete,C,18,51.43
2020_CH_78,Concrete,D,5,14.29
2020_CH_78,Concrete,E,3,8.57
2020_CH_82,Concrete,A,19,52.78
2020_CH_82,Concrete,B,2,5.56
2020_CH_82,Concrete,C,7,19.44
2020_CH_82,Concrete,D,1,2.78
2020_CH_82,Concrete,E,7,19.44
2020_CH_84,Concrete,A,2,5.71
2020_CH_84,Concrete,B,7,20.0
2020_CH_84,Concrete,C,7,20.0
2020_CH_84,Concrete,D,7,20.0
2020_CH_84,Concrete,E,12,34.29
2020_LC_31,Abstract,A,0,0.0
2020_LC_31,Abstract,B,2,5.56
2020_LC_31,Abstract,C,11,30.56
2020_LC_31,Abstract,D,6,16.67
2020_LC_31,Abstract,E,17,47.22
2021_CH_46,Concrete,A,11,30.56
2021_CH_46,Concrete,B,16,44.44
2021_CH_46,Concrete,C,4,11.11
2021_CH_46,Concrete,D,0,0.0
2021_CH_46,Concrete,E,5,13.89
2021_CH_51,Abstract,A,28,77.78
2021_CH_51,Abstract,B,3,8.33
2021_CH_51,Abstract,C,3,8.33
2021_CH_51,Abstract,D,1,2.78
2021_CH_51,Abstract,E,1,2.78
2021_CH_57,Abstract,A,0,0.0
2021_CH_57,Abstract,B,19,52.78
2021_CH_57,Abstract,C,3,8.33
2021_CH_57,Abstract,D,12,33.33
2021_CH_57,Abstract,E,2,5.56
2021_CH_65,Abstract,A,31,86.11
2021_CH_65,Abstract,B,4,11.11
2021_CH_65,Abstract,C,0,0.0
2021_CH_65,Abstract,D,1,2.78
2021_CH_65,Abstract,E,0,0.0
2021_CH_76,Concrete,A,8,22.22
2021_CH_76,Concrete,B,21,58.33
2021_CH_76,Concrete,C,4,11.11
2021_CH_76,Concrete,D,0,0.0
2021_CH_76,Concrete,E,3,8.33
2021_CH_83,Abstract,A,25,69.44
2021_CH_83,Abstract,B,6,16.67
2021_CH_83,Abstract,C,0,0.0
2021_CH_83,Abstract,D,3,8.33
2021_CH_83,Abstract,E,2,5.56
2021_CH_86,Abstract,A,30,83.33
2021_CH_86,Abstract,B,1,2.78
2021_CH_86,Abstract,C,3,8.33
2021_CH_86,Abstract,D,1,2.78
2021_CH_86,Abstract,E,1,2.78
2021_LC_26,Concrete,A,0,0.0
2021_LC_26,Concrete,B,3,8.57
2021_LC_26,Concrete,C,6,17.14
2021_LC_26,Concrete,D,20,57.14
2021_LC_26,Concrete,E,6,17.14
2022_CH_47,Abstract,A,6,16.67
2022_CH_47,Abstract,B,1,2.78
2022_CH_47,Abstract,C,8,22.22
2022_CH_47,Abstract,D,0,0.0
2022_CH_47,Abstract,E,21,58.33
2022_CH_51,Abstract,A,3,8.33
2022_CH_51,Abstract,B,6,16.67
2022_CH_51,Abstract,C,2,5.56
2022_CH_51,Abstract,D,8,22.22
2022_CH_51,Abstract,E,17,47.22
2022_CH_60,Abstract,A,2,5.56
2022_CH_60,Abstract,B,26,72.22
2022_CH_60,Abstract,C,3,8.33
2022_CH_60,Abstract,D,0,0.0
2022_CH_60,Abstract,E,5,13.89
2022_CH_71,Abstract,A,28,77.78
2022_CH_71,Abstract,B,2,5.56
2022_CH_71,Abstract,C,0,0.0
2022_CH_71,Abstract,D,3,8.33
2022_CH_71,Abstract,E,3,8.33
