question_id,question_year,question_field,question_number,question_type,enem_correctness,sample_accuracy,difficulty_gap,n_exposed,n_valid_answers
2017_CH_47,2017,CH,47,Concrete,0.527917465166208,0.9722222222222222,0.44430475705601424,36,36
2017_CH_68,2017,CH,68,Concrete,0.2069303968327291,0.25,0.0430696031672709,36,36
2017_CH_69,2017,CH,69,Concrete,0.283977091362474,0.3888888888888889,0.10491179752641488,36,36
2017_CH_75,2017,CH,75,Concrete,0.1964736904113095,0.4166666666666667,0.2201929762553572,36,36
2018_CH_77,2018,CH,77,Concrete,0.2103828048416349,0.1111111111111111,-0.0992716937305238,36,36
2018_LC_44,2018,LC,44,Concrete,0.2951478999067735,0.5277777777777778,0.2326298778710043,36,36
2019_CH_56,2019,CH,56,Abstract,0.3926106536218327,0.5833333333333334,0.1907226797115007,36,36
2019_CH_64,2019,CH,64,Abstract,0.604244682645566,0.8055555555555556,0.2013108729099896,36,36
2019_CH_65,2019,CH,65,Abstract,0.3433019991514724,0.7777777777777778,0.4344757786263054,36,36
2020_CH_56,2020,CH,56,Concrete,0.4830001778034939,0.75,0.2669998221965061,36,36
2020_CH_59,2020,CH,59,Concrete,0.4582523423350119,0.5555555555555556,0.0973032132205437,36,36
2020_CH_70,2020,CH,70,Concrete,0.244848972506758,0.4857142857142857,0.24086531320752771,35,35
2020_CH_76,2020,CH,76,Abstract,0.315717226144949,0.25,-0.06571722614494901,36,36
2020_CH_77,2020,CH,77,Abstract,0.2928950929249277,0.42857142857142855,0.13567633564650083,35,35
2020_CH_78,2020,CH,78,Concrete,0.3834166598860249,0.5142857142857142,0.13086905439968932,35,35
2020_CH_82,2020,CH,82,Concrete,0.4406437691929831,0.5277777777777778,0.0871340085847947,36,36
2020_CH_84,2020,CH,84,Concrete,0.217985576821657,0.34285714285714286,0.12487156603548585,35,35
2020_LC_31,2020,LC,31,Abstract,0.4478960422147685,0.4722222222222222,0.024326180007453735,36,36
2021_CH_46,2021,CH,46,Concrete,0.5713472000908519,0.4444444444444444,-0.12690275564640752,36,36
2021_CH_51,2021,CH,51,Abstract,0.4690162788304226,0.7777777777777778,0.3087614989473552,36,36
2021_CH_57,2021,CH,57,Abstract,0.304245910773413,0.3333333333333333,0.029087422559920306,36,36
2021_CH_65,2021,CH,65,Abstract,0.6866014614393652,0.8611111111111112,0.17450964967174598,36,36
2021_CH_76,2021,CH,76,Concrete,0.1797999836750338,0.5833333333333334,0.40353334965829957,36,36
2021_CH_83,2021,CH,83,Abstract,0.4347480454401885,0.6944444444444444,0.2596963990042559,36,36
2021_CH_86,2021,CH,86,Abstract,0.5558420311097073,0.8333333333333334,0.27749130222362606,36,36
2021_LC_26,2021,LC,26,Concrete,0.3092108298406186,0.5714285714285714,0.2622177415879528,35,35
2022_CH_47,2022,CH,47,Abstract,0.4736677315356127,0.5833333333333334,0.10966560179772067,36,36
2022_CH_51,2022,CH,51,Abstract,0.2543846345770937,0.4722222222222222,0.2178375876451285,36,36
2022_CH_60,2022,CH,60,Abstract,0.4528563111830808,0.7222222222222222,0.2693659110391414,36,36
2022_CH_71,2022,CH,71,Abstract,0.444068288594161,0.7777777777777778,0.3337094891836168,36,36
