channel_name,pair_id,n_included_participants,mean_abstract,mean_concrete,mean_difference_abstract_minus_concrete,t_stat,df,p_value,ci_low,ci_high,cohens_dz,p_value_holm
S1_D3 hbo,S1_D3,30,-3.723967109076051e-08,-6.137279997756094e-08,2.4133128886800426e-08,1.1585807965345285,29,0.2560791920090598,-1.8468811956970717e-08,6.673506973057156e-08,0.2115269456514215,1.0
S1_D6 hbo,S1_D6,36,-1.4188436248677294e-07,-1.0573282012916562e-07,-3.615154235760733e-08,-0.7377129479700733,35,0.4656064205978455,-1.3563675942015776e-07,6.33336747049431e-08,-0.12295215799501222,1.0
S2_D4 hbo,S2_D4,35,-9.485634480554121e-09,-1.4862188844180923e-08,5.3765543636268156e-09,0.17905207477596866,34,0.858959560448709,-5.564744157833646e-08,6.64005503055901e-08,0.030265324562975676,1.0
S2_D6 hbo,S2_D6,36,2.1557199626648028e-09,-5.63013761753803e-08,5.845709613804512e-08,2.527898994218696,35,0.01614186909110985,1.1511306530253909e-08,1.0540288574583632e-07,0.4213164990364492,0.35512112000441665
S3_D1 hbo,S3_D1,32,-8.541968816956884e-08,-9.848333379088661e-08,1.3063645621317763e-08,0.49345195536503017,31,0.6251711717563,-4.093042738610535e-08,6.705771862874087e-08,0.08723080595709361,1.0
S3_D3 hbo,S3_D3,32,-4.351606305569642e-08,-3.783004105211131e-08,-5.686022003585107e-09,-0.27721004455815695,31,0.7834590389770596,-4.751970934814577e-08,3.614766534097555e-08,-0.049004275580024445,1.0
S3_D7 hbo,S3_D7,36,-6.936062742768078e-08,-7.326330671054744e-08,3.90267928286666e-09,0.15787370933420736,35,0.8754636468162579,-4.6282118344164695e-08,5.408747690989801e-08,0.02631228488903456,1.0
S4_D2 hbo,S4_D2,35,-8.701920327921009e-09,-6.1256110310877054e-09,-2.5763092968333028e-09,-0.0997889983105962,34,0.9210979217074007,-5.5043921072005455e-08,4.9891302478338845e-08,-0.016867419299459428,1.0
S4_D4 hbo,S4_D4,34,-1.7726261108399988e-08,9.762101868167408e-09,-2.7488362976567394e-08,-0.9025495084476771,33,0.37330603835571996,-8.945227127657233e-08,3.4475545323437533e-08,-0.15478596371984346,1.0
S4_D7 hbo,S4_D7,36,7.556247997272223e-09,5.02179223691188e-09,2.534455760360348e-09,0.10615994135843915,35,0.9160615922477151,-4.5932213183388796e-08,5.1001124704109486e-08,0.01769332355973986,1.0
S5_D3 hbo,S5_D3,31,-3.865292717917119e-08,-6.497996087434591e-08,2.6327033695174715e-08,0.9890955070990191,30,0.33052731423009174,-2.8032707488430977e-08,8.06867748787804e-08,0.17764679728584543,1.0
S5_D4 hbo,S5_D4,36,-4.756307861755768e-09,-3.859644556879279e-08,3.3840137707037014e-08,1.5815904059978838,35,0.12273902636584612,-9.596602672526924e-09,7.727687808660096e-08,0.2635984009996473,1.0
S5_D6 hbo,S5_D6,36,8.721173227357912e-09,-3.779058473148629e-08,4.651175795884418e-08,1.5346715455631665,35,0.13385570803613175,-1.5015341349210394e-08,1.0803885726689875e-07,0.2557785909271944,1.0
S5_D7 hbo,S5_D7,36,-2.691947928177511e-08,-4.781358446309035e-08,2.0894105181315236e-08,1.1700688982794458,35,0.2498792675895271,-1.5357852839838967e-08,5.714606320246944e-08,0.1950114830465743,1.0
S6_D1 hbo,S6_D1,31,-5.299966317497646e-08,-8.287385983288303e-08,2.987419665790655e-08,1.5079950568770095,30,0.14201567666453374,-1.0584323885868049e-08,7.033271720168114e-08,0.2708439076452789,1.0
S6_D2 hbo,S6_D2,36,-1.5940011034040242e-08,-2.5137305232323257e-08,9.197294198283017e-09,0.652718604181326,35,0.5182022929757821,-1.9408447618750088e-08,3.780303601531612e-08,0.10878643403022097,1.0
S6_D5 hbo,S6_D5,33,-7.767916260185588e-08,-6.126481076334548e-08,-1.6414351838510403e-08,-0.6157432186309649,32,0.5424191534773286,-7.071448793336866e-08,3.788578425634785e-08,-0.10718713616989514,1.0
S6_D7 hbo,S6_D7,36,-5.945647277215477e-08,-6.351634552346062e-08,4.0598727513058514e-09,0.1787746002489088,35,0.8591455448521429,-4.204276066886788e-08,5.016250617147959e-08,0.029795766708151455,1.0
S7_D2 hbo,S7_D2,36,-4.7916628997998364e-08,-4.352094281246486e-08,-4.395686185533505e-09,-0.24843269781044133,35,0.805251578024862,-4.031574604078264e-08,3.1524373669715634e-08,-0.04140544963507356,1.0
S7_D5 hbo,S7_D5,35,-5.496113635716798e-08,-4.246624882172889e-08,-1.2494887535439097e-08,-0.5461774543271972,34,0.5885102966585234,-5.89864927587235e-08,3.399671768784531e-08,-0.09232083987228414,1.0
S8_D1 hbo,S8_D1,29,-9.427390573516222e-08,-9.595282796231096e-08,1.6789222271487523e-09,0.06960012514618338,28,0.9450066393639471,-4.773357916400528e-08,5.109142361830279e-08,0.012924418776185654,1.0
S8_D5 hbo,S8_D5,36,-7.707540699638382e-08,-6.720636038451993e-08,-9.86904661186389e-09,-0.4550393640639709,35,0.651891082708344,-5.389870943505747e-08,3.4160616211329685e-08,-0.07583989401066181,1.0
